87: (ep_len: 53, kl: 0.0164, lr_mult: 0.1317, loss: 3.9473, entropy: 3.6748, EV_old: 0.5213, EV_new: 0.6097, sp_time: 257.2843, train_time: 15.4736)
88: (ep_len: 43, kl: 0.0146, lr_mult: 0.1317, loss: 4.1251, entropy: 3.7319, EV_old: 0.3952, EV_new: 0.4977, sp_time: 200.9105, train_time: 15.6267)
89: (ep_len: 40, kl: 0.0178, lr_mult: 0.1317, loss: 4.1577, entropy: 3.7045, EV_old: 0.3334, EV_new: 0.4395, sp_time: 183.8746, train_time: 15.6431)
90: (ep_len: 23, kl: 0.0257, lr_mult: 0.1317, loss: 4.1317, entropy: 3.7301, EV_old: 0.2558, EV_new: 0.4334, sp_time: 109.3985, train_time: 15.5173)
91: (ep_len: 16, kl: 0.0258, lr_mult: 0.1317, loss: 4.1601, entropy: 3.6620, EV_old: 0.1928, EV_new: 0.4426, sp_time: 75.9231, train_time: 15.4718)
92: (ep_len: 34, kl: 0.0184, lr_mult: 0.1317, loss: 4.0746, entropy: 3.6835, EV_old: 0.3396, EV_new: 0.4949, sp_time: 239.9610, train_time: 15.6608)
93: (ep_len: 29, kl: 0.0385, lr_mult: 0.1317, loss: 4.0380, entropy: 3.7228, EV_old: 0.3151, EV_new: 0.5159, sp_time: 145.6341, train_time: 15.5946)
94: (ep_len: 47, kl: 0.0441, lr_mult: 0.0878, loss: 4.0599, entropy: 3.6585, EV_old: 0.4120, EV_new: 0.5245, sp_time: 238.9391, train_time: 15.5437)
95: (ep_len: 38, kl: 0.0307, lr_mult: 0.0878, loss: 4.0098, entropy: 3.7111, EV_old: 0.4026, EV_new: 0.5763, sp_time: 191.3288, train_time: 15.4638)
96: (ep_len: 25, kl: 0.0307, lr_mult: 0.0878, loss: 4.0491, entropy: 3.7520, EV_old: 0.4109, EV_new: 0.5625, sp_time: 130.9781, train_time: 15.6162)
97: (ep_len: 33, kl: 0.0203, lr_mult: 0.0878, loss: 4.0682, entropy: 3.6469, EV_old: 0.3689, EV_new: 0.5031, sp_time: 211.4735, train_time: 16.1716)
98: (ep_len: 43, kl: 0.0107, lr_mult: 0.0878, loss: 4.1703, entropy: 3.6623, EV_old: 0.2487, EV_new: 0.3951, sp_time: 217.6602, train_time: 15.5966)
99: (ep_len: 34, kl: 0.0171, lr_mult: 0.0878, loss: 4.1973, entropy: 3.7301, EV_old: 0.2880, EV_new: 0.4397, sp_time: 160.4795, train_time: 15.5560)
100: (ep_len: 38, kl: 0.0111, lr_mult: 0.0878, loss: 4.1977, entropy: 3.7217, EV_old: 0.3043, EV_new: 0.4591, sp_time: 179.5740, train_time: 15.4984)
101: (ep_len: 27, kl: 0.0106, lr_mult: 0.0878, loss: 4.1377, entropy: 3.6726, EV_old: 0.3019, EV_new: 0.4567, sp_time: 150.8987, train_time: 15.7415)
102: (ep_len: 42, kl: 0.0138, lr_mult: 0.0878, loss: 4.1248, entropy: 3.7241, EV_old: 0.3557, EV_new: 0.5133, sp_time: 183.8092, train_time: 15.5954)
103: (ep_len: 14, kl: 0.0079, lr_mult: 0.1317, loss: 4.0436, entropy: 3.7436, EV_old: 0.4442, EV_new: 0.5693, sp_time: 87.8206, train_time: 15.9603)
104: (ep_len: 30, kl: 0.0220, lr_mult: 0.1317, loss: 3.9916, entropy: 3.7130, EV_old: 0.4477, EV_new: 0.5929, sp_time: 153.8890, train_time: 15.5555)
105: (ep_len: 25, kl: 0.0149, lr_mult: 0.1317, loss: 3.9735, entropy: 3.6890, EV_old: 0.4147, EV_new: 0.6174, sp_time: 141.5939, train_time: 15.5478)
106: (ep_len: 30, kl: 0.0140, lr_mult: 0.1317, loss: 3.8888, entropy: 3.6755, EV_old: 0.5073, EV_new: 0.6596, sp_time: 168.7883, train_time: 15.5745)
107: (ep_len: 30, kl: 0.0174, lr_mult: 0.1317, loss: 3.8822, entropy: 3.6450, EV_old: 0.4680, EV_new: 0.6760, sp_time: 141.6574, train_time: 15.5520)
108: (ep_len: 30, kl: 0.0208, lr_mult: 0.1317, loss: 3.8971, entropy: 3.6087, EV_old: 0.4549, EV_new: 0.6743, sp_time: 158.9292, train_time: 15.4936)
109: (ep_len: 35, kl: 0.0263, lr_mult: 0.1317, loss: 3.9429, entropy: 3.6801, EV_old: 0.4608, EV_new: 0.6101, sp_time: 179.4596, train_time: 15.5541)
110: (ep_len: 27, kl: 0.0238, lr_mult: 0.1317, loss: 3.9643, entropy: 3.6296, EV_old: 0.4106, EV_new: 0.5851, sp_time: 130.0648, train_time: 15.5234)
111: (ep_len: 30, kl: 0.0263, lr_mult: 0.1317, loss: 4.0003, entropy: 3.6350, EV_old: 0.3904, EV_new: 0.5763, sp_time: 200.8134, train_time: 15.5261)
112: (ep_len: 28, kl: 0.0269, lr_mult: 0.1317, loss: 3.9737, entropy: 3.5649, EV_old: 0.3521, EV_new: 0.5322, sp_time: 148.1271, train_time: 15.6048)
113: (ep_len: 23, kl: 0.0317, lr_mult: 0.1317, loss: 3.9465, entropy: 3.6639, EV_old: 0.4439, EV_new: 0.5879, sp_time: 146.1296, train_time: 15.5374)
114: (ep_len: 19, kl: 0.0294, lr_mult: 0.1317, loss: 3.8883, entropy: 3.6210, EV_old: 0.4376, EV_new: 0.6437, sp_time: 111.9266, train_time: 15.5166)
115: (ep_len: 22, kl: 0.0219, lr_mult: 0.1317, loss: 3.8173, entropy: 3.5721, EV_old: 0.5069, EV_new: 0.6559, sp_time: 116.7299, train_time: 15.4747)
116: (ep_len: 21, kl: 0.0337, lr_mult: 0.1317, loss: 3.9241, entropy: 3.6498, EV_old: 0.4234, EV_new: 0.6452, sp_time: 109.6354, train_time: 15.6013)
117: (ep_len: 33, kl: 0.0119, lr_mult: 0.1317, loss: 3.8080, entropy: 3.6011, EV_old: 0.5265, EV_new: 0.6824, sp_time: 142.7695, train_time: 15.5798)
118: (ep_len: 36, kl: 0.0165, lr_mult: 0.1317, loss: 3.9075, entropy: 3.5602, EV_old: 0.4570, EV_new: 0.6594, sp_time: 185.3638, train_time: 15.6238)
119: (ep_len: 34, kl: 0.0131, lr_mult: 0.1317, loss: 3.8672, entropy: 3.5760, EV_old: 0.3793, EV_new: 0.6372, sp_time: 160.9153, train_time: 15.4588)
120: (ep_len: 20, kl: 0.0182, lr_mult: 0.1317, loss: 3.8034, entropy: 3.5687, EV_old: 0.4042, EV_new: 0.6629, sp_time: 89.7527, train_time: 15.5436)
121: (ep_len: 54, kl: 0.0167, lr_mult: 0.1317, loss: 3.8103, entropy: 3.5614, EV_old: 0.3612, EV_new: 0.6579, sp_time: 309.0741, train_time: 15.5851)
122: (ep_len: 22, kl: 0.0231, lr_mult: 0.1317, loss: 3.7989, entropy: 3.5312, EV_old: 0.4987, EV_new: 0.6793, sp_time: 103.6155, train_time: 15.5297)
